complexity_level,complexity_type,text
L-EF,fact,We did an ensnarement with different colored projector lenses and an opaque ball handing from the sling and we saw shadows First we saw 1 shadow when we terned on 1 light there was a dark shadow when we turned on 2 lights there were 2 light shadows and uprise surprise when we toned on all the lights there were 3 light shadows 
L-EF,fact,Shadows on the earth are not completely black but the shadows on the moon they are 
L-EF,fact,The rainbow is made up of colored light The colors of the rainbow are red orange yellow green blue indigo and violet 
L-EF,fact,There are three eye cones in our eyes and the colors are red green and blue 
L-EF,fact,A concave object is is pushed back and if you look into a concave mirror you see yourself upside and 
L-EF,fact,a convex object is pushed out and if you look into a convex mirror you see yourself right side up but you are very large 
L-EF,fact,When colored light is shined at a opaque object the shadow is black like a normal shadow but when you shine two colored lights there are two shadow and the colors are the colors of the light 
L-EF,fact,Sundials are a form of telling time You can tell the time by the position of the shadow 
L-EF,fact,Shadows also are used to tell directions like north and south you also look at the shadow and that will tell you the direction you are walking in 
L-EF,fact,A concave mirror is a mirror that goes in and when light is shewn on it the light gets focused 
L-EF,fact,A convex mirror is a mirror that goes out and when you shine light on it the light bounces off straight looking 
L-F,fact,All of the secondary colors mixed together equals white light 
L-F,fact,A transparent object is clear and lets 100 light pass through 
L-F,fact,A translucent object is clear swell but only lets 50 go through 
L-F,fact,An opaque object lets 0 through 
L-F,fact,The law of reflection on a flat mirror is The angle of incidence equals the angle of reflection 
L-F,fact,The secondary colors are yellow cyan and magenta yellow indigo and purple 
L-F,fact,Red and blue make magenta 
L-F,fact,Blue and green make cyan and 
L-F,fact,green and red make yellow 
L-F,fact,All three primary colors make white 
L-F,fact,Light and materials The most useful materials to use in experiments about light are lenses and mirrors But first mirrors There are two kinds of mirrors There names are concave and convex 
L-F,fact,You cant forget flat mirrors There sort of in the middle Flat mirrors are pretty important to 
L-F,fact,That law only works for smooth mirrors though 
L-F,fact,On bumpy mirrors the reflected ray would go in all directions That is a called a diffused reflection 
L-F,fact,Now lenses There are two kinds of lenses Concave and convex Just like the mirrors they do the same things 
L-F,fact,Lenses are transparent 
L-F,fact,There are two other forms that Translucent and opaque 
L-F,fact,A transparent object means see through 
L-F,fact,a translucent object colors the light and 
L-F,fact,an opaque object means that it stops the light completely 
L-F,fact,Now  artificial light First chemiluminescence Chemiluminescence is when chemicals react to make light 
L-F,fact,Then there are lasers Lasers are extremely bright and very strong They can go through anything 
L-F,fact,There are two different ways you can play with shadows One is an umbra and the other is a penumbra 
L-F,fact,Those are the small the things to do with shadows but there are much bigger things Those things are eclipses There are two eclipses that we know of Solar and lunar 
L-F,fact,3 Is it true that we cant see without light Of course not 
L-F,fact,The colors of light I think are in the rainbow winch are redOrangeYellowGreenBlueIndigoand Violet 
L-F,fact,The primary colors of light are red green and blue 
L-F,fact,the primary colors of pigment paint are Bluebeard yellow 
L-F,fact,There are 2 rinds of light natural and artificial The kind of light that is in your home is artificial if all the windows are covers 
L-F,fact,Photoluminescence is light made by animals such as fireflies and the tiny fish that live at the bottom of the sea winch my mom loves 
L-F,fact,The aurora Borealis is very bucketful it is light that hits the sky probably threw water that is why it looks waive 
L-F,fact,fl you want to make white light you mix red blue and green together and you have white light 
L-F,fact,A lunar eclipse is when the earth is in front of the moon 
L-F,fact,a solar eclipse is when the moon goes in front of the earth 
L-F,fact,A concave mirror is a mirror that is bent in 
L-F,fact,A convex mirror is a mirror that is bent out 
L-F,fact,Photoluminescence is made by animals whose habits don't have much light 
L-F,fact,Misalliance is made by semicircles 
L-F,fact,Transparent objects are objects that you see threw 
L-F,fact,translucent is when only some light can shine threw 
L-F,fact,concave mirrors reflect light out and convex mirrors footrace the light 
L-F,fact,the law of reflection on a flat mirror is the light goes onto the mirror and bounces in the isopleth direction 
L-F,fact,the law of diffuse refection is the light goes to the mirror and bounces in the same detection 
L-F,fact,concave lenses and light rays help near sited people see far sited and 
L-F,fact,convex mirrors help far sited people see near sited 
L-F,fact,solar powered things are made with solar panels 
L-F,fact,lasers are a toolbox they melt mettle 
L-F,fact,An penumbra is a shadow shining around the shadow 
L-F,fact,An umbra is a dark shadow that comes from a small light 
L-F,fact,An opaque is an nontransparent thing 
L-F,fact,Chemiluminescence is produced by a chemical reaction 
L-F,fact,Luminescence is made by living things 
L-F,fact,Lasers are very bright and intense and can burn through anything 
L-F,fact,Things that glow have florescences 
L-F,fact,Co lours of light The primary colors of light are red blue and green 
L-F,fact,And the secondary colors of light are yellow magenta and cyan 
L-F,fact,Black light is made up of all the colors 
L-F,fact,and white light reflects everything 
L-F,fact,If you look at something that is blue all the colors are absorbed except blue and that is for every other color 
L-F,fact,Light and materials A transparent object is a see through 
L-F,fact,a translucent object is see through but a little burier 
L-F,fact,An opaque object is not see through 
L-F,fact,The law of reflection is if light hit s a mirror on a 90 degree angle and it goes back ons 90 degree angle 
L-F,fact,Diffuse reflection is if you crumple tin foil the light goes all over the place 
L-F,fact,A convex lens concentrates the light 
L-F,fact,a concave lens spreads the light out 
L-F,fact,the primary colors of light are red green and blue 
L-F,fact,The secondary colors of light are Yellow magenta and cyan 
L-F,fact,White light is made from the primary colors mixed 
L-F,fact,If you shine light on a prism it makes a rainbow
L-F,fact,Eye cones are cones in your eyes that help you see colors 
L-F,fact,Northern lights are colored lights 
L-F,fact,Transparent objects are objects that can not be seen through and are opaque 
L-F,fact,Translucent objects are objects are you can see through but not perfectly 
L-F,fact,An opaque object is a object that is sold and cannot be seen through 
L-F,fact,The law of reflection is the angle of incidence equals the angle of reflection 
L-F,fact,If you shine a light source on a crinkly piece of tinfoil the reflection goes every where and is called a diffuse reflection 
L-F,fact,A concave lens goes in 
L-F,fact,and a convex lens goes out 
L-F,fact,Solar panels are panels used with light 
L-F,fact,Photoluminescence is a animal that makes its own light 
L-F,fact,Chemiluminescence is chemical made light 
L-F,fact,fluorescence is things that glow like a glow sticks from a party 
L-F,fact,Lasers are a really strong form of light 
L-EE,explanation,"if worms have eyes my  theory is that they don't because 1 if they did the soil would get into their eyes unless their eyes had see through membranes on them to stop that but that would be to complex for worms
The second reason is that worms are too primitive to have  eyes
Thats why I think that they have a special sense that tells the worms if its light or dark through the heat when its light outside they feel heat and when its dark its cold
  "
L-EE,explanation,worms don't have eyes because they have photo receptors we have those in our spectrophotometers sense the light so the worms can move The light patterns show the worms where to go Heat is in the light and the photo receptors also help them to sense heat 
L-EE,explanation,is when you put litter in the compost bin you are littering because things in the compost get put in the soil so if you put your candy wrapper that came from the house down the street last Halloween the wrapper will get put in the soil and there it will stay you probably do not care cause your probably enjoying the candy cause compost is banana peels or apple cores that have the left over nutrients in it that go in the soil also they do not hire people to sort through the compost so maybe you should read the sign that goes over the bin saying  COMPOST recycling AND LITTER and after you eat an apple core it can be used in a different way   
L-E,explanation,is that rocks get chopped up by feet and other rocks which are rolled over to the other rocks  over time they are chopped into smaller pieces of rock And that repeats until they are tiny pieces Then it rains which makes it nice and moist Then the sun dries it up a little bit You do not want it too dry Then it needs a little air Worms fertilize it And now we have soil soil does not come from any particular place 
L-E,explanation,is that soil is made out of rocks that get turned into sand then you maybe take a little bit of grounded up wood You take a little water then a little sunshine and there is your soil   
L-E,explanation,is because we have a sense of up and down worms have a sense of light and dark Like when we have been in the dark for a long time when you come out even when your eyes are closed you can still feel the light 
L-E,explanation,is that it is rolled over and crushed rock and it needs compost to stay healthy because the compost dissolves and its nutrients does not so it goes in the soil 
L-E,explanation,"is that worms have a six sense which is electro
charge sensory This specific sense is the same one that Platypus use to catch its food The way this sense works is every single object on earth has electro charges bouncing off it so when the worm comes it feels the charges so it does not bump into it Since there are so many roots underground this sense comes in handy under there Only certain animals have a six sense like Platypus Worms and many more animals have a six sense  "
L-EE,explanation,is that Algae isn't exactly Fungi because Algae is a under water Aqua plant And Fungi is known not to be a plant but to be something completely different It has its own kingdom In fact Fungi id closer to a animal then a plant I think that Algae is NOT connected to fungi but is connected to plants my theory is that there are different kinds of under water Fungi and maybe Algae is connected to THAT type of Fungi truly E 
L-EE,explanation,is that fungus feeds the trees that DO Give us air and in that way it helps us have oxygen and air And that relates to how we breath out Carbondale and the trees need that to make air for us and  we keep the trees doing that process and the routine that helps us live So thats like we are trees to them because we give them their air and they give us our air by their air that we give them 
L-EF,fact,I do not think so because Ive touch a tree that has fungus on it it did not come on to me 
L-EF,fact,fungus etch dead thing not grow on them
L-EF,fact,fungi and fungus is piratically the same thing   because fungi etch what eve its on sow does fungus but mi us geeing
L-EF,fact,I think so to I ha seen mold on blue sees 
L-EF,fact,is that fungus mushrooms give trees minerals and the tree gives the fungi mushrooms sugar 
L-F,fact, I think that it takes a week or more for fungi to spread I think that fungi spreads to eat and to get energy
L-F,fact, I think that fungus is basically mold because they look the same  there both the same ripe
L-F,fact,I think fungus is a related to mold  like there in the same family there in a family
L-F,fact, I disagree fungi is related to mold they look the same and there in the same family
L-F,fact,how does fungi help the planet I think it helps the trees grow
