Complexity_type,PredictedTestData,Scientificness,Subject,text
explanation,L-EE,E-BS,travel,My theory's that light travels in waves because when we did an experiment with progesterone and a tennis ball hanging from the vealing on a piece of string And when we shone light on it the tennis balls shader was clear But the strings shadow had some light on it 
fact,L-F,E-BS,materials,Transparent objects are things that light can go through freely through glass and clear plastic 
fact,L-F,E-BS,materials,Translucent objects are things that light can go through a bit like paper 
fact,L-F,E-BS,materials,Opaque things are things that light cant go through things and produces a shadow Opaque things are humans buildings and lots more 
fact,L-F,E-BS,reflection,A convex mirror is shaped like Richard Massing belly 
fact,L-F,E-BS,reflection,A concave mirror is shaped like a caves entrance 
explanation,L-EE,E-S,sunpanel,Dull dark surfaces do not reflect much light so they are perfect for solar panels instead they absorb the suns rays and turn them into thermal energy this means that on a roof there are dark hoses of water  The water heats up because the hoses are absorbing the suns rays and they are isolated The heated water is pumped into a storage tank where it used to heat the house  
fact,L-F,E-S,reflection,The angle incidents equals the angle of reflection 
fact,L-F,E-BS,diffused,A defuse reflection happens when light hits a bumpy mirror 
fact,L-F,E-BS,laser,Lasers are very highly bright and intense light It can burn through anything 
explanation,L-E,E-BS,glow,Most things that glow have some fluorescent paint on them This paint absorbs light and then glows until it has no more light absorbed in it 
fact,L-F,E-BS,bio,Photoluminescence are living things that gives off its own light 
fact,L-F,E-BS,glow,Chemiluminescence is perused by chemical reactions  
explanation,L-E,E-BS,shadow,A shadow is made when darkness made when light shines on a opaque object  
fact,L-F,E-BS,shadow,A unbar is a dark shadow  
fact,L-F,E-BS,shadow,A penumbra is a light shadow 
explanation,L-E,E-BS,eclipse,A liner eclipse is when the earth is between the sun and the moon 
explanation,L-E,E-BS,eclipse,A solar eclipse is when the moon is between the sun and the earth 
fact,L-F,E-H,shadow,When a small light hits an nontransparent object it makes an umbra 
fact,L-F,E-BS,shadow,When a larger light hits the same nontransparent object it makes an larger shadow then before and that is called an penumbra 
fact,L-EF,E-S,shadow,When two different colored lights hit an nontransparent object it makes two different colored shadows one that is on one side of the nontransparent object and one that is one the other lets say that the two different colored lights where red and green and you shined those lights on each side of an nontransparent objects ball One shadow will be green and the other will be red but on either side of the nontransparent object 
fact,L-F,E-BS,materials,An opaque object is an nontransparent object but in an scientific way 
fact,L-F,E-BS,shadow,I also understand that the shadow is always on the parasite side of the light source 
fact,L-F,E-H,shadowsize,The closer you are to the light source the bigger your shadow is 
explanation,L-E,E-H,shadow,A shadow is made when a light source hits an object 
explanation,L-E,E-H,eclipse,A lunar eclipse is when the sun foe between the moon and casts a shadow 
explanation,L-E,E-H,eclipse,A solar eclipse is when the sun goes in front of the moon 
explanation,L-EE,E-H,shadowsize,I need to understand why you can get two different kinds of shadows one that is larger than you and one that is smaller than you my theory of what happens is that it appends on the time of day 
fact,L-EF,E-H,travel,There are many theories about light there is the straight line theory that is when light travels in straight lines only There is also a theory that is called ripple waves that is when you tutu still water and it makes ripple waves the man that discoverer ripple waves was Christian Huygens The other theory is the combo theory that is when the waves are in the straight lines And there is the cancel out theory and that is where the straight lines cancel the waves 
fact,L-F,E-BS,refraction,I all so know that when light goes in to a different medium it bends more like air and water those are different mediums 
fact,L-F,E-BS,laser,A laser is a really hot berm of light and it can burn mete 
fact,L-F,E-BS,glow,chemiluminescence is a chemical that makes light 
fact,L-F,E-BS,bio,photoluminescence is a animal that makes its on light 
explanation,L-E,E-BS,glow,What helps things that glow are fluorescence pink and other colors 
fact,L-F,E-S,pri&sec,The primary colors of light are red blue and green 
fact,L-F,E-S,pri&sec,The secondary colors are cyan yellow and magenta 
fact,L-EF,E-BS,postimage,You have three eye cones in your eyes one is red and one is green and one is blue They are all sensitive to there own colors 
explanation,L-E,E-BS,objects,If your body wants to see a red rose the red is bounced into your eyes and the other colors are absorbs 
explanation,L-E,E-BS,objects,If your body wants to see a yellow green and red is bounced into you eyes and the blue is absorbed 
fact,L-F,E-BS,northern,Northern lights are colored lights in the ski 
fact,L-EF,E-BS,prism&rainbow,If you want to make a rainbow there are two ways to so you could either shine light on water or on a prism it will work either way
fact,L-F,E-BS,materials,Transparent is something that you can see through 
fact,L-F,E-BS,materials,Translucent is something that you can sort of see through 
fact,L-F,E-BS,materials,Opaque is something that you can not see through 
fact,L-F,E-BS,reflection,A concave mirrors a cave shape mirror 
fact,L-F,E-BS,reflection,A convex mirror is like a tummy 
fact,L-F,E-BS,reflection,The law of reflection is the angle of incident equals the angle of reflection 
fact,L-F,E-BS,diffused,Diffuse reflection means when light hits busby service light moves all over the place 
fact,L-F,E-BS,lens,When light hits a convex lens it focuses the light and then speeds the light 
explanation,L-E,E-H,sunpanel,Solar panels takes in light and makes it in to energy 
fact,L-F,E-BS,reflection,A concave mirror takes in light and dress it out 
explanation,L-EE,E-BS,shadow,My understanding shadows starts at the shadow view if a light sours hits a optic nontransparent object which creates a shadow Such as a person is standing behind a light sours and a shadow papers behind them 
explanation,L-EE,E-BS,eclipse,I also learned that a solar eclipse happens when the moon blocks the sun which makes a large shadow over the earth That is why when your outside and the sun dispersals its just a large shadow 
explanation,L-E,E-BS,eclipse,I also learned that a lunar eclipse is caused when the earth is between the sun and the moon 
fact,L-EF,E-BS,prism&rainbow,The next view is the Co lours of Light view with rainbows A rainbow is created when white light hits though a prism and makes a rainbow You can also diffuse a rainbow by letting the light make a rainbow and put another prism beside and it and it creates white light again
fact,L-F,E-S,pri&sec,The primary colors of light are Bluebeard green 
fact,L-F,E-BS,pri&sec,The primary colors can be made into the secondary colors 
fact,L-F,E-S,pri&sec,The secondary colors are Reacknowledgment 
fact,L-F,E-S,pri&sec,and Agreeableness 
fact,L-F,E-S,pri&sec,and Bluejacket 
fact,L-F,E-S,pri&sec,And the secondary colors all mixed into one makes white light 
explanation,L-E,E-BS,rainbow,Rain can can be used as prisms thats why theres a rainbow after it rains 
fact,L-F,E-BS,see,All we see Now to the All we see is light view A myriad of notes agree on that you can only see with light 
explanation,L-EE,E-BS,objects,Also if your looking at a yellow flower the blue light would be absorbed allowing the two other colors to both making yellow would bounce of into your two sensitive cone to those colors 
fact,L-F,E-BS,bio,Photoluminescence is light created by animal 
fact,L-F,E-S,pri&sec,The primary colors of light are red green and blue 
fact,L-F,E-S,pri&sec,The secondary colors of light are yellow magenta and cyan 
fact,L-F,E-S,pri&sec,To make white light you need to mix all the primary colors together 
explanation,L-EE,E-BS,northern,The Northern lights are caused by the sun bombarding the earth with tiny partials of electricity When these partials hit the highest part of the hates atmosphere it electrolysis the air and makes it glow 
fact,L-F,E-BS,prism&rainbow,To make a rainbow with a prism you need to shine light through a prism and it makes a rainbow
explanation,L-E,E-BS,rainbow,To make a rainbow with rain it in voles moisture in the air and since there is moisture in the air the moistness acts like a prism 
fact,L-F,E-BS,pri&sec,There is a thing called a color wheel 
fact,L-F,E-BS,postimage,There are cones in your eye They are sensitive to colored light 
fact,L-F,E-BS,postimage,If you stare at a picture of a green frog for 10 seconds then stare at a blank sheet of paper you will see a RED frog 
explanation,L-EE,E-BS,objects,When looking at a red rose you need light right You do so when your looking at that objetc the light shines on it and since it is red it refletcs the red light off the objetc and all the other colors get absorbed Its the same with any other color including yellow green etc 
fact,L-F,E-S,materials,There are three different types of materials opaque translucent and transparent 
fact,L-F,E-BS,materials,Opaque means nothing can pass through it 
fact,L-F,E-H,materials,Translucent means that it is see through but is colored 
fact,L-F,E-BS,materials,Transparent means it is completely see through 
fact,L-F,E-BS,reflection,A concave mirror focuses the light inward 
fact,L-F,E-BS,reflection,A convex mirror focuses the light outward 
fact,L-F,E-BS,reflection,The law of reflection is the angle of incidence equals the angle of reflection 
fact,L-F,E-BS,diffused,De fussed reflection is like this 
fact,L-F,E-PS,lens,A convex lens focuses the light outward on the other side of the lens 
fact,L-F,E-PS,lens,A concave lens focuses the light inward on the other side of the lens 
explanation,L-E,E-BS,sunpanel,A solar panel absorbs light and uses it as energy 
explanation,L-E,E-BS,bio,Fireflies produce light from their abdominals because of a chemical reaction caused by Lucifer and Lucifer This is called photoluminescence 
explanation,L-E,E-BS,glow,This is how a glow stick works When you snap a glow stick it makes a little hole and to chemicals collide and then they glow This is called chemiluminescence 
fact,L-F,E-BS,glow,Fluorescence is when a object is emitting a glow while getting light from another source 
fact,L-F,E-BS,laser,A laser is so very very strong it can cut through anything 
explanation,L-E,E-BS,shadow,A shadow is made by standing in front of a light source and then the place you block up is where the shadow is made 
fact,L-F,E-BS,shadow,A umbra is a dark shadow caused by a small light source 
fact,L-F,E-BS,shadow,A penumbra is a light shadow caused by a big light source 
explanation,L-E,E-BS,eclipse,A solar eclipse is when the moon passes in between the sun and the earth causing a big shadow 
explanation,L-EE,E-BS,eclipse,A lunar eclipse is when the earth is right in between the sun and the moon winch casts a shadow over the moon making the moon total darkness 
fact,L-F,E-,travel,Our class has many theories about how light travels We have 5 theories 1 Ripple 2 Wave 3 Wave in tube 4 Particle 5 Straight 
fact,L-EF,E-,see,There are 3 different theories about how light effects how we see The two theories are your eyes can adjust to light they cant and you see only the outlines 
fact,L-EF,E-BS,stars,My understanding of Light In natural and artificial light even though I am a master of that view I Know that stars are made of gas not fire I found that interesting because before I read those notes I thought that stars were made of fire and only planets were surrounded by gas 
fact,L-F,E-BS,laser,I also learned lasers can cut through absolutely anything Even diamonds 
fact,L-F,E-BS,bio,Also I learned that 70 percent of the underwater animals use photoluminescence I also found this interesting fungi and bacteria use photoluminescence 
explanation,L-E,E-BS,glow,I thought glow in the dark could only happen with one thine but then I read Yasmin note and saw that it happens with three things heat friction and electricity 
explanation,L-E,E-H,shadowsize,In the shadows view I learned The closer the sun is to you the stronger it is 
explanation,L-E,E-BS,shadow,Also I learned That your body blocked the sun and that creates a shadow The sun goes through the ground and makes a shadow for a root 
fact,L-F,E-BS,shadow,A umbra is the darker part of the light that you may shine anywhere You see the umbra when the light hits something 
fact,L-F,E-BS,shadow,The penumbra is a lot like the umbra but is the lighter part 
fact,L-F,E-BS,materials,in light and materials I know that a transparent object is See through 
fact,L-F,E-BS,materials,a translucent object is Sort of see through 
fact,L-F,E-BS,materials,and Opaque is Non see through 
fact,L-F,E-BS,reflection,you can see more in a convex mirror than a concave mirror 
fact,L-F,E-BS,reflection,The law of reflection is when the indecent ray hits the flat mirror the Reflection ray bounces back 
fact,L-F,E-BS,diffused,a diffuse reflection is when light hits a something bumpy and the light goes everywhere 
explanation,L-EE,E-BS,sunpanel,Solar panels are used for sucking up sunlight and using the sunlight for something such as a solar powered windmill That works by the sunlight getting sucked into a solar panel and the light moves the windmill 
fact,L-F,E-PS,reflection,when light hit a concave mirror the light rays go everywhere but when light rays hit a convex mirror they act normally 
fact,L-F,E-S,pri&sec,in Co lours of light it talks about the primary colors of light are red blue and green 
fact,L-F,E-S,pri&sec,and the secondary colors are yellow magenta and cyan 
fact,L-F,E-S,pri&sec,If you mix the primary colors of light you get white light 
fact,L-F,E-BS,prism&rainbow,If you shine light through a prism it makes a rainbow
explanation,L-E,E-BS,rainbow,a rainbow in rain is made because its so damp outside 
explanation,L-E,E-BS,objects,We see a red rose because The primary colors go to the rose and green and blue get absorbed and red bounces off 
explanation,L-E,E-BS,objects,we see a yellow rose because all the secondary colors go at the rose the magenta and cyan gets absorbed but yellow bounces off 
fact,L-EF,E-BS,postimage,You have three eye cones a blue cone a red cone and a green cone The red cone is sensitive to red light the green cone is sensitive to the green light and the blue cone is sensitive to blue light 
fact,L-F,E-BS,northern,the northern lights are usually found up north people used to be scared of them 
explanation,L-E,E-BS,shadow,A shadow is the darkness left behind when a light sours shines on a nontransparent object 
fact,L-F,E-BS,shadow,There are two types of shadows the umbra and the penumbra 
fact,L-F,E-BS,shadow,The umbra is a small and dark shadow you will get when you use a small light sours  
fact,L-F,E-BS,shadow,The penumbra is a lighter shadow around the umbra You get the penumbra when you use a large light 
explanation,L-E,E-BS,eclipse,A solar eclipse is when the moon blocks the sun light from coming to the earth 
explanation,L-E,E-PS,eclipse,A lunar clips is when the sun blocks the moons light from going to earth 
fact,L-F,E-BS,sundial,you can use shadow to tell time with a sundial 
fact,L-F,E-S,pri&sec,The primary colors of light are red green and blue 
fact,L-F,E-S,pri&sec,and the primary colors of paint are red yellow and blue 
fact,L-F,E-S,pri&sec,The secondary colors of light are yellow cyan and magenta 
fact,L-F,E-S,pri&sec,The secondary colors of paint are purple orange and green 
fact,L-F,E-S,pri&sec,You can make white light by mixing red blue and green 
explanation,L-EE,E-BS,object,A red rose looks red because the red light in the white light reflects of the rose and in to your eyes the blue and green light gets absorbed 
explanation,L-E,E-BS,object,A yellow flower looks yellow because the red and the green light in the white light are reflexed in to you eyes and the blue is absorbed 
fact,L-F,E-S,object,Light can be reflected and absorbed 
fact,L-F,E-BS,postimage,We have 3 different eye cones The 3 eye cones are 3 different colors those colors are red green and blue 
fact,L-F,E-BS,northern,The northern lights are also called the Aurora Borealis The Aurora Borealis is light There are lots of colors in the Aurora Borealis 
explanation,L-E,E-BS,rainbow,You can make a rainbow with a prism by outing light thought a prism of rain Rain is what make the rainbow in the sky 
fact,L-F,E-BS,materials,There are 3 ways to describe an object the 3 ways are transparent translucent and opaque 
fact,L-F,E-BS,materials,A transparent object is like glass you can see through it 
fact,L-F,E-BS,materials,A translucent object is an object that is Ike sand falling through water light can go through it 
fact,L-F,E-BS,materials,An opaque object is like peter light cant go through him 
fact,L-F,E-BS,reflection,A concave mirror looks like a bowl When light hits a concave mirror it bounces of like in the picture below 
fact,L-F,E-BS,reflection,A convex mirror looks like the picture above on the right 
fact,L-EF,E-S,reflection,There is some thing called the law of reflection The law of reflection on a flat mirror is when the light bounces of the mirror at the same angle it came on to the mirror 
fact,L-F,E-BS,diffused,A diffused reflection happens on a bumpy mirror Its when all the light goes in lots of directions 
fact,L-F,E-BS,lens,A convex lens focuses the light 
fact,L-F,E-BS,lens,A concave lens speeds out the light 
explanation,L-E,E-BS,sunpanel,Solar panels are panels that use light to make electricity 
fact,L-F,E-BS,glow,There are 4 come types of luminescences Photoluminescence Chemiluminescence Electro luminescence and Thermoluminescence 
fact,L-F,E-H,glow,Things that glow are called fluorescence 
fact,L-F,E-BS,laser,Gazers are very strong and used for a lot of things 
explanation,L-E,E-BS,see,All we see is light Without light we can not see 
explanation,L-E,E-BS,travel,My theory is that light travels in a wavy straight line 
explanation,L-EE,E-BS,shadow,Shadow darkness made when light shines on an opaque nontransparent object If the light shines on an opaque object it is imposable for the shadow to be on the same side the light is coming from unless there is a mirror If there is no light there isn't a shadow So there is a shadow where the light cant reach 
explanation,L-E,E-BS,eclipse,A lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon 
explanation,L-E,E-BS,eclipse,A solar eclipse is when the sun goes in front of the moon 
fact,L-F,E-BS,stars,The sun is the most important light source 
fact,L-EF,E-BS,glow,Objects that give off their own light are called luminous objects Light sources don't have to be natural to be luminous The sun is luminous as well 
fact,L-F,E-BS,glow,Objects that don't give off light are non luminous 
fact,L-F,E-BS,glow,A flashlight is luminous when on but is non luminous when switched off 
explanation,L-EE,E-BS,glow,Inside luminous objects or animals some form of energy changes into light energy This energy usually changes into chemical electrical thermal and nuclear energy The process of giving off light is called incandescence 
fact,L-F,E-BS,bio,When an animal gives off its own light its called photoluminescence as in biomasses 
fact,L-F,E-BS,glow,Chemiluminescence is produced by certain chemical reactions For example glow sticks 
fact,L-F,E-BS,electric,Electro luminescence is produced by electric discharges For example when silk or fur is stroked or when adhesive surfaces are separated 
fact,L-EF,E-BS,glow,Thermoluminescence is different souses that glow by friction and can create blue sparks One of these sources is wintergreen Life Savers If you are chewing one turn the lights of  Look in a mirror while chewing Look in your mouth and you will see the candy brakes up in to blueish green sparks 
fact,L-F,E-BS,rainbow,A rainbow is made up of seven different colors Red orange yellow green blue indigo violet 
explanation,L-E,E-BS,rainbow,It is made when raindrops fall on something like a leaf and the sunshine shines through the leaf and the raindrop acts like a prism 
fact,L-F,E-S,pri&sec,The primary colors of light are blue green and red
fact,L-F,E-S,pri&sec,and the secondary colors are yellow magenta and sin 
fact,L-F,E-S,pri&sec,Yellow is made when mixing green and red 
fact,L-F,E-S,pri&sec,magenta is made when mixing red and blue 
fact,L-F,E-S,pri&sec,and sin is made when mixing green and blue 
fact,L-F,E-S,pri&sec,All of the secondary colors mixed together equals white light 
explanation,L-EE,E-BS,postimage,You have three eye cones in your eyes One is sensitive to red one is sensitive to blue and one is sensitive to green so when you see something blue the blue eye cone starts getting sensitive so you can see the color 
explanation,L-EE,E-BS,objects,When we look at a red rose the red eye cone color bounces off into our eye and the other two colors absorb so you see the color of the rose 
explanation,L-E,E-BS,objects,When we see a yellow rose blue would absorb and green and red would bounce off into our eye which makes yellow 
fact,L-F,E-BS,materials,A transparent object is clear and lets 100 light pass through 
fact,L-F,E-BS,materials,A translucent object is clear swell but only lets 50 go through 
fact,L-F,E-BS,materials,An opaque object lets 0 through 
fact,L-F,E-BS,reflection,The law of reflection on a flat mirror is The angle of incidence equals the angle of reflection 
explanation,L-EE,E-S,travel,When we had the class debate I was the only student who was not on a side because my theory was light travels in waves but the waves go in a strait line and the debate was between straight line and waves And now we have lots of ideas from the debate and we don't know which one is right now is light travels sort of like this Light travels in a straight line but appears to be wavy or light travels in waves but appears to be straight That means that light has aspects of both straight lines and waves It depends on how you look at it Or what your experiment is trying to prove In our class we have seen experiments that prove both that light travels in straight lines box with powder and shadow experiments and wavy lines Thomas Young experiment 
explanation,L-EE,E-H,pri&sec,My understanding of Light The colors of light Light is made up of many many different colors You cannot see those colors because those colors mixed together to get white light White light is transparent so you cant see it 
explanation,L-E,E-BS,rainbow,When it rains the raindrops split the light so you can see 7 discolored orange yellow green blue indigo and violet that make a rainbow 
explanation,L-EE,E-S,objects,The way you see what color everything is is because of light hitting your eye when their is a green leaf the light hits it before it splits up it is called white light the green leaf absorbs the other colors but the green keeps going because it is the same color The green light keeps going until it goes into your eye Then the brain identifies what color and it is 
fact,L-F,E-BS,postimage,Cones are things that respond to colored light There are three kinds of light that cones respond to Red blue and green 
explanation,L-EE,E-BS,postimage,Cones tire easily If you were looking at a green apple the cone that responds to green light gets tired So when you look at a piece of white paper the green cone would be to tired but the red and blue wouldn't and red and blue make purple And purple is the opposite of green on the color wheel 
fact,L-F,E-BS,prism,Light is the colors of the rainbow compressed to make white light A prism splits up light into separate colorsred orange yellow green blue indigo violet 
explanation,L-EE,E-BS,rainbow,This is why the colors of the rainbow are in the same order As you know there are seven colors that we know of They all travel at a the same wave frequency and they get mixed But when light goes through something like rain the frequency of the light waves get differed For some reason red always has the longest frequency and purple has the shortest 
fact,L-EF,E-BS,pri&sec,There are different names for the colors of light Those names are the primary colors of light and the secondary colors of light There not just named orally The primary colors are the first colors that make up the secondary colors 
fact,L-F,E-S,pri&sec,The primary colors are red blue and green The same colors as your eye cones 
fact,L-F,E-S,pri&sec,The secondary colors are yellow cyan and magenta yellow indigo and purple 
fact,L-F,E-S,pri&sec,Red and blue make magenta 
fact,L-F,E-S,pri&sec,Blue and green make cyan and 
fact,L-F,E-S,pri&sec,green and red make yellow 
fact,L-F,E-S,pri&sec,All three primary colors make white 
explanation,L-E,E-BS,objects,That is why when you look at a yellow thing the red and green light bounce of it but blue gets absorbs mixes and comes to your eye as yellow 
explanation,L-EE,E-BS,northern,A thing that involves color and is very magnificent is the northern lights This happens because of magnetic disturbances of the sun The sun sends out particles of electricity that are microscopic The earths atmosphere makes the air electrified and then it glow The colors that glow are red pink and green 
fact,L-EF,E-BS,reflection,Light and materials The most useful materials to use in experiments about light are lenses and mirrors But first mirrors There are two kinds of mirrors There names are concave and convex 
fact,L-F,E-S,reflection,A convex mirror is shaped like a belly and a concave mirror is shaped like a cave 
fact,L-F,E-S,reflection,A concave mirror concentrates the light and a convex mirror does the opposite 
fact,L-EF,E-S,reflection,A convex mirror since it spreads the light out lets you see more of the stuff behind you A concave mirror since it concentrates light lets you see close up Concave mirrors are used by doctors to see up close 
fact,L-F,E-BS,reflection,You cant forget flat mirrors There sort of in the middle Flat mirrors are pretty important to 
fact,L-EF,E-S,reflection,They also have something called the law of reflection The law of reflection is the angle of incidence equals the angle of reflection To clarify that if light hits a flat mirror at say a 75 degree angle it is going to come off the mirror at a 75 degree angle 
fact,L-F,E-H,reflection,That law only works for smooth mirrors though 
fact,L-F,E-BS,diffused,On bumpy mirrors the reflected ray would go in all directions That is a called a diffused reflection 
fact,L-F,E-BS,lens,Now lenses There are two kinds of lenses Concave and convex Just like the mirrors they do the same things 
fact,L-EF,E-BS,lens,You can add another lens to one of those lenses also A double concave lens would spread out the light and a double convex would concentrate the light 
fact,L-F,E-S,lens,Lenses are transparent 
fact,L-F,E-S,materials,There are two other forms that Translucent and opaque 
fact,L-F,E-BS,materials,A transparent object means see through 
fact,L-F,E-H,materials,a translucent object colors the light and 
fact,L-F,E-S,materials,an opaque object means that it stops the light completely 
explanation,L-E,E-BS,sunpanel,There are also things called solar panels They are made to catch light The light that they catch is used to make electricity Solar panels probably have a lot of tubes connected 
fact,L-EF,E-BS,glow,There are two kinds of light Natural and artificial Natural light is light from a natural light source and artificial light is something that is made from a artificial light source like light bulbs 
fact,L-EF,E-H,bio,But first natural light There are two sections that I am going to write about First photoluminescence Photoluminescence is made from a living thing Like electric sale They make their own light Therefore electric sale are electroluminescent So are glow worms squids fireflies and even bacteria and fungi 
fact,L-F,E-BS,glow,Now  artificial light First chemiluminescence Chemiluminescence is when chemicals react to make light 
fact,L-F,E-H,glow,The second thing is fluorescence That is made with friction Like when two stones rub together They make fire whits is heat and light That is fluorescence 
fact,L-F,E-BS,laser,Then there are lasers Lasers are extremely bright and very strong They can go through anything 
fact,L-EF,,laser,News flash If you put a red balloon inside a white balloon and shine a laser at it the laser will pop the red balloon but the white balloon will be unharmed 
explanation,L-EE,E-S,shadow,A shadow is the darkness on the other side of an opaque object whits is nontransparent When a light shines on an opaque object the light cant get around it so there is only darkness whits is a shadow 
fact,L-F,E-BS,shadow,There are two different ways you can play with shadows One is an umbra and the other is a penumbra 
fact,L-EF,E-BS,shadow,And umbra is made when you shine a light source over an object that is bigger than the light source That makes a big shadow that is pretty darker 
fact,L-EF,E-BS,shadow,A penumbra is when you shine a light source on something that is smaller than the light source That makes a little umbra and a penumbra which is lighter 
fact,L-EF,E-BS,eclipse,Those are the small the things to do with shadows but there are much bigger things Those things are eclipses There are two eclipses that we know of Solar and lunar 
explanation,L-EE,E-S,eclipse,A lunate eclipse is when the art goes between the moon and the sun The sun hits the eart and the eart casts a shadow on the moon winch give the moon total darkness 
explanation,L-E,E-S,eclipse,A solar eclipse is when the moon is in the middle and blocks the light from hitting the earth making that side dark 
explanation,L-E,E-BS,see,1 Is it true that all we see is light My theory is that all you see is light bouncing off things in to our eyes 
explanation,L-E,E-BS,see,2 How do we see an object that is transparent translucent or opaque Opaque light bounces off it into your eyes 
explanation,L-E,E-BS,see,Transparent solid light bounces off it because it is a solid and you can see it very faintly 
explanation,L-E,E-BS,see,Translucent more light bounces off then transparent but less light bounces off then opaque objects 
fact,L-F,E-S,see,3 Is it true that we cant see without light Of course not 
explanation,L-EE,E-H,travel,1 How do you think light travels My theory is that since light doesn't travel on anything it has to make enough energy to keep going My theory is that there are little wavelets of energy that travel inside bigger straight lines Like a flashlight That also explains why light is hot 
fact,L-F,E-BS,rainbow,The colors of light I think are in the rainbow winch are redOrangeYellowGreenBlueIndigoand Violet 
fact,L-F,E-S,pri&sec,The primary colors of light are red green and blue 
fact,L-F,E-S,pri&sec,the primary colors of pigment paint are Bluebeard yellow 
explanation,L-EE,E-S,shadow,People make shadows by just standing in the light Because light travels in a titrate line or Waveland it hits a portion or thing and the blocks the light so it cant reach the ground and thee for makes an outline of that object 
fact,L-F,E-BS,glow,There are 2 rinds of light natural and artificial The kind of light that is in your home is artificial if all the windows are covers 
fact,L-F,E-BS,bio,Photoluminescence is light made by animals such as fireflies and the tiny fish that live at the bottom of the sea winch my mom loves 
explanation,L-E,E-BS,objects,Reflecting and absorbing say if there was a red rose and red light hit it it would bounce off And blue light hit it it would absorb 
fact,L-F,E-PS,northern,The aurora Borealis is very bucketful it is light that hits the sky probably threw water that is why it looks waive 
fact,L-EF,E-H,postimage,Eye cones are things that are in your eyes and they see every thing is upside down The image goes threw the eye cone and to the brain and the brain turns it rightsize 
fact,L-F,E-S,pri&sec,fl you want to make white light you mix red blue and green together and you have white light 
fact,L-EF,E-BS,prism&rainbow,fl you want to make a rainbow you put a prism down and you shine a flashlight at it All the colors will come out the other side
explanation,L-E,E-BS,rainbow,If you want a natural rainbow when it rains the rain drops act like prisms and make a rainbow 
explanation,L-E,E-H,objects,How we see a red flower is it goad through your eye and it is upside down The solution to this problem is that your brain turns it around 
fact,L-EF,E-H,shadow,An umbra is a dark shadow and a penumbra is a light shadow for instance if a light is really dim you will have a penumbra if the light is sting its an umbra 
fact,L-F,E-BS,eclipse,A lunar eclipse is when the earth is in front of the moon 
fact,L-F,E-BS,eclipse,a solar eclipse is when the moon goes in front of the earth 
fact,L-F,E-BS,reflection,A concave mirror is a mirror that is bent in 
fact,L-F,E-BS,reflection,A convex mirror is a mirror that is bent out 
fact,L-F,E-BS,bio,Photoluminescence is made by animals whose habits don't have much light 
fact,L-F,E-BS,glow,Misalliance is made by semicircles 
fact,L-EF,E-BS,shadow,We did an ensnarement with different colored projector lenses and an opaque ball handing from the sling and we saw shadows First we saw 1 shadow when we terned on 1 light there was a dark shadow when we turned on 2 lights there were 2 light shadows and uprise surprise when we toned on all the lights there were 3 light shadows 
fact,L-F,E-BS,materials,Transparent objects are objects that you see threw 
fact,L-F,E-BS,materials,translucent is when only some light can shine threw 
fact,L-F,E-PS,reflection,concave mirrors reflect light out and convex mirrors footrace the light 
fact,L-F,E-PS,reflection,the law of reflection on a flat mirror is the light goes onto the mirror and bounces in the isopleth direction 
fact,L-F,E-PS,diffused,the law of diffuse refection is the light goes to the mirror and bounces in the same detection 
fact,L-F,E-BS,lens,concave lenses and light rays help near sited people see far sited and 
fact,L-F,E-BS,lens,convex mirrors help far sited people see near sited 
fact,L-F,E-BS,sunpanel,solar powered things are made with solar panels 
fact,L-F,E-BS,laser,lasers are a toolbox they melt mettle 
explanation,L-E,E-H,shadow,Shadow My theory is that all the light gets around but it doesn't get past your body so it is dark and the shape of your body 
fact,L-F,E-BS,shadow,An penumbra is a shadow shining around the shadow 
fact,L-F,E-BS,shadow,An umbra is a dark shadow that comes from a small light 
fact,L-F,E-BS,shadow,Shadows on the earth are not completely black but the shadows on the moon they are 
fact,L-F,E-BS,materials,An opaque is an nontransparent thing 
explanation,L-E,E-S,eclipse,A lunar eclipse is when the earth is between the sun and the moon and it casts a shadow over the moon 
explanation,L-E,E-S,eclipse,A solar eclipse it happens when the moon is located between the sun and the earth and the moon blocks the sunlight 
explanation,L-EE,E-BS,sunpanel,Solar energy Solar panels are dark so they attract heat and the sun is turned into thermal energy In the panels there are little tubes and the water gets warmer the warm water is pumped into a storage tank and it heats the house 
fact,L-F,E-BS,glow,Chemiluminescence is produced by a chemical reaction 
fact,L-F,E-BS,bio,Luminescence is made by living things 
fact,L-F,E-BS,laser,Lasers are very bright and intense and can burn through anything 
fact,L-F,E-H,glow,Things that glow have florescences 
fact,L-F,E-S,pri&sec,Co lours of light The primary colors of light are red blue and green 
fact,L-F,E-S,pri&sec,And the secondary colors of light are yellow magenta and cyan 
fact,L-F,E-S,rainbow,The rainbow is made up of colored light The colors of the rainbow are red orange yellow green blue indigo and violet 
explanation,L-EE,E-BS,prism&rainbow,How do out make a rainbow with a prism the white light goes in to the prism and it splits the light up into 7 different color s and those different colors are the colors of them rainbow
explanation,L-E,E-BS,rainbow,How you make a rainbow with rain rain acts likes prisms and do the same thing that prisms do 
explanation,L-E,E-BS,objects,How you see a yellow rose red and green are reflected and all the other colors were absorbed 
